Locus_tag	Product	Protein_ID	Start	End
pgaptmp_000106	hypothetical protein	WP_012423238.1	79484	79666
pgaptmp_000107	YccF domain-containing protein	WP_017826758.1	79878	80240
pgaptmp_000108	YdcF family protein	WP_012450193.1	80486	81247
pgaptmp_000109	AAA family ATPase	WP_017354119.1	81489	82004
pgaptmp_000111	hypothetical protein	WP_017354125.1	82443	82901
pgaptmp_000112	hypothetical protein	WP_017826759.1	82904	83335
pgaptmp_000113	GNAT family N-acetyltransferase	WP_003412699.1	83349	83840
pgaptmp_000114	CHAP domain-containing protein	-2+	83980	84180
pgaptmp_000115	lipase family alpha/beta hydrolase	WP_020376762.1	84233	85678
pgaptmp_000116	Na+/H+ antiporter NhaC family protein	WP_017826760.1	85871	87202
pgaptmp_000117	sensor histidine kinase	WP_017354280.1	87978	90188
pgaptmp_000118	response regulator transcription factor	WP_012422616.1	90172	90879
pgaptmp_000119	hypothetical protein	WP_012425812.1	91423	91695
pgaptmp_000120	hypothetical protein	WP_003369304.1	91789	92190
pgaptmp_000121	hypothetical protein	WP_012425012.1	92359	92517
pgaptmp_000122	putative ABC transporter permease	WP_012424015.1	92730	93254
pgaptmp_000123	DHHA1 domain-containing protein	WP_012450606.1	93393	94592
pgaptmp_000124	BMC domain-containing protein	WP_012424769.1	94794	95342
pgaptmp_000125	4Fe-4S dicluster domain-containing protein	WP_003374535.1	95367	96692
pgaptmp_000126	aldehyde dehydrogenase family protein	WP_012451752.1	96710	98203
pgaptmp_000127	EutN/CcmL family microcompartment protein	WP_003372230.1	98222	98494
pgaptmp_000128	flavoprotein	WP_017352512.1	98504	99352
pgaptmp_000129	ethanolamine utilization protein EutJ	WP_012449514.1	99363	100184
pgaptmp_000130	phosphate propanoyltransferase	WP_012451252.1	100187	100843
pgaptmp_000131	propanediol utilization microcompartment protein PduA	WP_003372118.1	100869	101147
pgaptmp_000132	propanediol utilization microcompartment protein PduA	WP_012425874.1	101252	101533
pgaptmp_000133	BMC domain-containing protein	WP_017352511.1	101558	102046
pgaptmp_000134	propanediol utilization microcompartment protein PduB	WP_012424589.1	102110	102928
pgaptmp_000135	1-propanol dehydrogenase PduQ	WP_003371253.1	103274	104437
pgaptmp_000136	hypothetical protein	WP_012422703.1	105004	105309
pgaptmp_000137	cation:dicarboxylate symporter family transporter	WP_012424703.1	105676	107055
pgaptmp_000138	TIGR04540 family protein	WP_012425787.1	107499	107732
pgaptmp_000139	GTP-binding protein	WP_010233058.1	108066	110021
pgaptmp_000140	alpha/beta fold hydrolase	WP_012451919.1	110285	111394
pgaptmp_000141	hypothetical protein	WP_012422928.1	111445	111786
pgaptmp_000142	exodeoxyribonuclease III	WP_003371713.1	111819	112574
pgaptmp_000143	hypothetical protein	WP_003370968.1	113105	113392
pgaptmp_000144	methyl-accepting chemotaxis protein	WP_017352504.1	113717	115723
pgaptmp_000145	YgiQ family radical SAM protein	WP_012451069.1	115983	117959
pgaptmp_000146	hypothetical protein	WP_012425509.1	118070	118306
pgaptmp_000147	DegV family protein	WP_003370483.1	118607	119476
pgaptmp_000148	4-hydroxyphenylacetate decarboxylase activase	WP_003373699.1	119991	120932
pgaptmp_000149	MFS transporter	WP_012425835.1	120971	122239
pgaptmp_000150	4-hydroxyphenylacetate decarboxylase small subunit	WP_003370022.1	122391	122660
pgaptmp_000151	4-hydroxyphenylacetate decarboxylase large subunit	WP_017352501.1	122667	125384
pgaptmp_000152	response regulator	WP_003372437.1	125739	126647
pgaptmp_000153	ATP-binding protein	WP_003371226.1	126676	128721
pgaptmp_000154	LuxR family transcriptional regulator	WP_003369592.1	128732	129463
pgaptmp_000155	methyl-accepting chemotaxis protein	WP_003373942.1	129940	131928
pgaptmp_000156	PFL family protein	WP_009170073.1	132169	133524
pgaptmp_000157	ACT domain-containing protein	WP_012058567.1	133539	133808
pgaptmp_000158	cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB	WP_012423815.1	133962	136181
pgaptmp_000159	glycosyltransferase	WP_017352629.1	136203	137453
pgaptmp_000160	DUF2334 domain-containing protein	WP_017825389.1	137465	138820
pgaptmp_000161	diguanylate cyclase domain-containing protein	WP_012451729.1	138804	139658
pgaptmp_000162	hypothetical protein	WP_003372366.1	139673	141160
pgaptmp_000163	hypothetical protein	WP_017353849.1	141493	141999
pgaptmp_000164	QueT transporter family protein	WP_003373268.1	142389	142898
pgaptmp_000165	UDP-glucose 4-epimerase GalE	WP_012422825.1	143400	144389
pgaptmp_000166	GTP pyrophosphokinase	WP_003369080.1	144548	145225
pgaptmp_000167	[Fe-Fe] hydrogenase large subunit C-terminal domain-containing protein	WP_012424649.1	145432	146787
pgaptmp_000168	YcdB/YcdC domain-containing protein	WP_012424069.1	147140	149185
pgaptmp_000169	methylated-DNA--[protein]-cysteine S-methyltransferase	WP_003373836.1	149491	149970
pgaptmp_000170	purine-nucleoside phosphorylase	WP_017353852.1	150006	150818
pgaptmp_000171	tyrosine--tRNA ligase	WP_012423391.1	150889	152103
pgaptmp_000172	amidohydrolase	WP_003372106.1	153201	154496
pgaptmp_000173	type I pullulanase	WP_003428239.1	154825	157230
pgaptmp_000174	pyruvate carboxylase	WP_003371168.1	157376	160816
pgaptmp_000175	MATE family efflux transporter	WP_017826420.1	161613	162986
pgaptmp_000176	xanthine phosphoribosyltransferase	WP_012705606.1	163571	164143
pgaptmp_000177	uracil-xanthine permease family protein	WP_012451221.1	164146	165474
pgaptmp_000178	MFS transporter	WP_003373450.1	165846	167033
pgaptmp_000179	MATE family efflux transporter	WP_003374422.1	167337	168707
pgaptmp_000180	helicase C-terminal domain-containing protein	WP_003369624.1	168836	171760
pgaptmp_000181	hypothetical protein	-2+	172361	172513
pgaptmp_000182	hypothetical protein	WP_012423084.1	172608	172799
pgaptmp_000183	hypothetical protein	WP_003374061.1	172848	173345
pgaptmp_000184	DNA topoisomerase III	WP_011010479.1	173943	175811
pgaptmp_000185	botulinum neurotoxin N-terminal receptor binding domain-containing protein	WP_095889390.1	176139	176871
pgaptmp_000186	IS982 family transposase	WP_010076700.1	176961	177898
pgaptmp_000187	signal peptidase I		177961	178428
pgaptmp_000188	botulinum neurotoxin N-terminal receptor binding domain-containing protein		178664	179575
pgaptmp_000189	hypothetical protein	-2+	179550	179966
pgaptmp_000190	hypothetical protein	-2+	180460	180687
pgaptmp_000191	hypothetical protein	-2+	180874	181107
pgaptmp_000192	hypothetical protein	-2+	181412	181666
pgaptmp_000193	site-specific integrase	WP_003513475.1	181785	182351
pgaptmp_000203	DUF5050 domain-containing protein	WP_017825369.1	543	1547
pgaptmp_000204	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	WP_012423922.1	1681	3057
pgaptmp_000205	glycine--tRNA ligase	WP_011967470.1	3245	4636
pgaptmp_000209	lysine--tRNA ligase	WP_011591140.1	6161	7666
pgaptmp_000210	transcription elongation factor GreA	WP_003371947.1	7712	8194
pgaptmp_000211	hypothetical protein	WP_017826644.1	8309	9133
pgaptmp_000212	tRNA dihydrouridine synthase DusB	WP_003374113.1	9201	10166
pgaptmp_000213	type III pantothenate kinase	WP_012451569.1	10172	10945
pgaptmp_000214	formate--tetrahydrofolate ligase	WP_012423596.1	11073	12743
pgaptmp_000215	ATP-dependent zinc metalloprotease FtsH	WP_012425148.1	12965	14770
pgaptmp_000216	hypoxanthine phosphoribosyltransferase	WP_003370272.1	14844	15383
pgaptmp_000217	tRNA lysidine(34) synthetase TilS	WP_003372116.1	15389	16795
pgaptmp_000218	stage II sporulation protein E	WP_012449725.1	16934	19315
pgaptmp_000219	hypothetical protein	-2+	19696	19866
pgaptmp_000226	S1 domain-containing RNA-binding protein	WP_003373094.1	20802	21218
pgaptmp_000227	FtsB family cell division protein	WP_017353444.1	21275	21568
pgaptmp_000228	spore cortex biosynthesis protein YabQ	WP_003371472.1	21647	22039
pgaptmp_000229	sporulation protein YabP	WP_003373757.1	22057	22350
pgaptmp_000230	RNA-binding S4 domain-containing protein	WP_002582984.1	22483	22743
pgaptmp_000231	HU family DNA-binding protein	WP_003359333.1	22794	23072
pgaptmp_000232	nucleoside triphosphate pyrophosphohydrolase	WP_003370811.1	23274	24740
pgaptmp_000233	putative polysaccharide biosynthesis protein	WP_012425044.1	24755	26290
pgaptmp_000234	stage V sporulation protein T	WP_003450655.1	26392	26943
pgaptmp_000235	peptidylprolyl isomerase	WP_012423113.1	27135	28166
pgaptmp_000236	transcription-repair coupling factor	WP_012423041.1	28301	31804
pgaptmp_000237	aminoacyl-tRNA hydrolase	WP_011967450.1	31819	32394
pgaptmp_000238	response regulator transcription factor	WP_003374251.1	32473	33159
pgaptmp_000239	ribose-phosphate diphosphokinase	WP_017353439.1	33271	34230
pgaptmp_000240	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	WP_010966498.1	34277	35644
pgaptmp_000241	septation regulator SpoVG	WP_012422613.1	35829	36107
pgaptmp_000242	pur operon repressor	WP_015390273.1	36228	37043
pgaptmp_000243	UDP-N-acetylmuramate--L-alanine ligase	WP_017353437.1	37334	38716
pgaptmp_000244	M24 family metallopeptidase	WP_003372762.1	38839	39915
pgaptmp_000245	metallophosphoesterase family protein	WP_012450694.1	40187	40885
pgaptmp_000246	asparagine--tRNA ligase	WP_012449817.1	41294	42688
pgaptmp_000247	CapA family protein	WP_003374020.1	42738	43901
pgaptmp_000248	hypothetical protein	WP_012425180.1	44256	44438
pgaptmp_000249	carbohydrate ABC transporter permease	WP_003371159.1	44752	45621
pgaptmp_000250	carbohydrate ABC transporter permease	WP_003369687.1	45621	46484
pgaptmp_000251	ABC transporter substrate-binding protein	WP_012424911.1	46509	47753
pgaptmp_000252	glycoside hydrolase family 13 protein	WP_003373315.1	47881	49542
pgaptmp_000253	LacI family DNA-binding transcriptional regulator	WP_003373508.1	49622	50626
pgaptmp_000254	DNA-3-methyladenine glycosylase	WP_012450736.1	51223	51831
pgaptmp_000255	anaerobic ribonucleoside-triphosphate reductase activating protein	WP_017353429.1	52126	52635
pgaptmp_000256	bifunctional diguanylate cyclase/phosphodiesterase	WP_017353428.1	52902	55157
pgaptmp_000257	aconitate hydratase	WP_009167732.1	55380	57302
pgaptmp_000258	homocitrate synthase	WP_012425270.1	57566	58720
pgaptmp_000259	anaerobic ribonucleoside triphosphate reductase	WP_017353425.1	59149	61254
pgaptmp_000260	DegV family protein	WP_017825691.1	61553	62401
pgaptmp_000261	PadR family transcriptional regulator	WP_012451311.1	62403	62855
pgaptmp_000262	hypothetical protein	WP_003373096.1	63071	63277
pgaptmp_000263	energy-coupled thiamine transporter ThiT	WP_012450080.1	63531	64208
pgaptmp_000264	ferredoxin	WP_003372764.1	64358	64546
pgaptmp_000265	Mrp/NBP35 family ATP-binding protein	WP_003450706.1	64613	65455
pgaptmp_000266	hypothetical protein	WP_003368878.1	65470	66303
pgaptmp_000267	prolipoprotein diacylglyceryl transferase	WP_012449858.1	66305	67063
pgaptmp_000268	hypothetical protein	WP_003374437.1	67161	67730
pgaptmp_000269	hypothetical protein	WP_012451572.1	67741	69195
pgaptmp_000270	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	WP_012450028.1	69388	70239
pgaptmp_000271	ribonuclease M5	WP_015390240.1	70240	70797
pgaptmp_000272	3D domain-containing protein	WP_017353422.1	70915	71961
pgaptmp_000273	TatD family hydrolase	WP_015390238.1	72245	73024
pgaptmp_000274	methionine--tRNA ligase	WP_003373340.1	73239	75176
pgaptmp_000275	dihydroxyacetone kinase phosphoryl donor subunit DhaM	WP_012423715.1	75688	76077
pgaptmp_000276	dihydroxyacetone kinase subunit DhaL	WP_017825697.1	76080	76736
pgaptmp_000277	dihydroxyacetone kinase subunit DhaK	WP_012425083.1	76826	77824
pgaptmp_000278	MIP/aquaporin family protein	WP_012424391.1	77918	78622
pgaptmp_000279	lysophospholipase	WP_017353418.1	79089	80012
pgaptmp_000280	sigma-54 interaction domain-containing protein	WP_012450149.1	80139	81545
pgaptmp_000281	FUSC family protein	WP_017353416.1	81645	82139
pgaptmp_000282	aminopeptidase P family protein	WP_004458836.1	82213	83988
pgaptmp_000283	Na+/H+ antiporter NhaC family protein	WP_003373845.1	84231	85949
pgaptmp_000284	ABC1 kinase family protein	WP_012451103.1	86542	88152
pgaptmp_000285	phasin family protein	WP_012423547.1	88338	88670
pgaptmp_000286	spore maturation protein	WP_003373626.1	88774	89301
pgaptmp_000287	nucleoside recognition domain-containing protein	WP_009167713.1	89317	89892
pgaptmp_000288	hypothetical protein	WP_003373625.1	90002	90187
pgaptmp_000289	MATE family efflux transporter	WP_012422835.1	90239	91618
pgaptmp_000290	viral A-type inclusion protein	WP_012423776.1	91743	92168
pgaptmp_000291	LacI family DNA-binding transcriptional regulator	WP_022743435.1	92450	93448
pgaptmp_000292	isoleucine--tRNA ligase	WP_017209532.1	93555	96665
pgaptmp_000293	5'-nucleotidase C-terminal domain-containing protein	WP_017825322.1	97486	99465
pgaptmp_000294	CotH kinase family protein	WP_012424830.1	99758	101884
pgaptmp_000295	DUF4956 domain-containing protein	WP_012450987.1	102001	102690
pgaptmp_000296	polyphosphate polymerase domain-containing protein	WP_003369057.1	102725	103411
pgaptmp_000297	sensor histidine kinase	WP_017353409.1	103708	104979
pgaptmp_000298	response regulator transcription factor	WP_003456343.1	104985	105668
pgaptmp_000299	(2Fe-2S)-binding protein	WP_012451448.1	105986	106195
pgaptmp_000300	class I SAM-dependent rRNA methyltransferase	WP_012423982.1	106456	107646
pgaptmp_000301	2-phosphosulfolactate phosphatase family protein	WP_012425108.1	107670	108386
pgaptmp_000302	TIGR01212 family radical SAM protein	WP_012422646.1	108387	109325
pgaptmp_000303	hypothetical protein	WP_012423397.1	109418	110488
pgaptmp_000304	YkvI family membrane protein	WP_012450349.1	110623	111681
pgaptmp_000305	radical SAM protein	WP_017353403.1	111831	112736
pgaptmp_000306	peptidoglycan-binding protein	WP_012425525.1	112777	114108
pgaptmp_000307	S8 family peptidase	WP_017353401.1	114178	116022
pgaptmp_000308	helix-turn-helix domain-containing protein	WP_017825313.1	116122	116790
pgaptmp_000309	DUF3783 domain-containing protein	WP_017825312.1	116792	117160
pgaptmp_000310	peptidylprolyl isomerase	WP_008426329.1	117341	117865
pgaptmp_000311	glutamate racemase	WP_003370593.1	118004	118780
pgaptmp_000312	glutamine synthetase	WP_003370192.1	119098	120990
pgaptmp_000313	HD-GYP domain-containing protein	WP_003374729.1	121283	122392
pgaptmp_000314	carbamoyl-phosphate synthase large subunit	WP_003372984.1	122436	125645
pgaptmp_000315	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	WP_003450627.1	125660	126709
pgaptmp_000316	methyl-accepting chemotaxis protein	WP_003371040.1	127076	128533
pgaptmp_000317	Cof-type HAD-IIB family hydrolase	WP_012425256.1	128632	129444
pgaptmp_000318	SDR family NAD(P)-dependent oxidoreductase	WP_017353394.1	129807	130577
pgaptmp_000319	PH domain-containing protein	WP_012450067.1	130804	132234
pgaptmp_000320	PH domain-containing protein	WP_003369181.1	132212	132718
pgaptmp_000321	GNAT family N-acetyltransferase	WP_003374095.1	132904	133344
pgaptmp_000322	glutamate-5-semialdehyde dehydrogenase	WP_012424727.1	133444	134688
pgaptmp_000323	glutamate 5-kinase	WP_003370692.1	134703	135512
pgaptmp_000324	methyl-accepting chemotaxis protein	WP_012423289.1	135885	137579
pgaptmp_000325	YjiH family protein	WP_017825184.1	137829	139184
pgaptmp_000326	ABC-ATPase domain-containing protein	WP_012422745.1	139496	141196
pgaptmp_000327	DUF1836 domain-containing protein	WP_017352574.1	141197	141778
pgaptmp_000328	PAQR family membrane homeostasis protein TrhA	WP_012424629.1	141997	142644
pgaptmp_000329	hypothetical protein	-2+	142831	143079
pgaptmp_000330	sodium-dependent transporter	WP_017825188.1	143174	144487
pgaptmp_000331	ABC-F family ATP-binding cassette domain-containing protein	WP_003372721.1	144977	146572
pgaptmp_000332	HAD-IIB family hydrolase	WP_003373892.1	146626	147414
pgaptmp_000333	ferredoxin hydrogenase	WP_012450040.1	147869	149599
pgaptmp_000334	TetR/AcrR family transcriptional regulator	WP_012424201.1	149910	150485
pgaptmp_000335	phosphatidylserine decarboxylase	WP_012449572.1	150647	151537
pgaptmp_000336	Card1-like endonuclease domain-containing protein	WP_017825191.1	151679	152818
pgaptmp_000338	sensor histidine kinase	WP_012425100.1	153264	154160
pgaptmp_000339	dicarboxylate/amino acid:cation symporter	WP_017352583.1	154498	155667
pgaptmp_000340	DUF1189 domain-containing protein	WP_012424208.1	155725	156534
pgaptmp_000341	L%2CD-transpeptidase	WP_003371533.1	156690	157841
pgaptmp_000342	helicase-exonuclease AddAB subunit AddA	WP_012451314.1	158123	161857
pgaptmp_000343	helicase-exonuclease AddAB subunit AddB	WP_012423101.1	161883	165341
pgaptmp_000344	GNAT family N-acetyltransferase	WP_012424627.1	165370	165888
pgaptmp_000349	serine--tRNA ligase	WP_012424888.1	167335	168612
pgaptmp_000350	DUF1667 domain-containing protein	WP_012425688.1	168927	169163
pgaptmp_000351	NAD(P)/FAD-dependent oxidoreductase	WP_012424219.1	169182	170573
pgaptmp_000352	3H domain-containing protein	WP_003371630.1	170587	171099
pgaptmp_000353	HD domain-containing protein	WP_012450427.1	171140	171643
pgaptmp_000370	phage holin family protein	WP_012450492.1	326	577
pgaptmp_000371	hypothetical protein	WP_012451062.1	640	906
pgaptmp_000372	GH25 family lysozyme	WP_003371811.1	964	1760
pgaptmp_000373	DNA helicase RecQ	WP_017352973.1	2119	4557
pgaptmp_000374	DnaJ domain-containing protein	WP_017825480.1	4750	5265
pgaptmp_000375	SNF2-related protein	WP_017825479.1	5472	8624
pgaptmp_000376	hypothetical protein	WP_012424850.1	9037	9810
pgaptmp_000377	aminotransferase class V-fold PLP-dependent enzyme	WP_012423708.1	10191	11330
pgaptmp_000378	flavin monoamine oxidase family protein	WP_012422977.1	11454	13172
pgaptmp_000379	glucose-1-phosphate cytidylyltransferase	WP_017352879.1	13624	14403
pgaptmp_000380	CDP-glucose 4%2C6-dehydratase	WP_017352880.1	14385	15455
pgaptmp_000381	N-acetylneuraminate synthase family protein	WP_017352881.1	15485	16309
pgaptmp_000382	SIS domain-containing protein	WP_017352882.1	16314	17390
pgaptmp_000383	thiamine pyrophosphate-binding protein	WP_017352883.1	17448	19250
pgaptmp_000384	TylF/MycF/NovP-related O-methyltransferase	WP_017352884.1	19271	20296
pgaptmp_000385	FkbM family methyltransferase	WP_012423150.1	20330	21457
pgaptmp_000386	FkbM family methyltransferase		21548	22657
pgaptmp_000387	NAD-dependent epimerase/dehydratase family protein		22657	23751
pgaptmp_000388	FkbM family methyltransferase		23782	24894
pgaptmp_000389	FkbM family methyltransferase		24969	25916
pgaptmp_000390	glycosyltransferase	WP_012423091.1	25944	27623
pgaptmp_000391	lipopolysaccharide biosynthesis protein RfbH	WP_017352888.1	28027	29352
pgaptmp_000392	glycosyltransferase	WP_017352889.1	29533	31335
pgaptmp_000393	DUF4489 domain-containing protein	WP_012424534.1	31733	32272
pgaptmp_000394	hypothetical protein	WP_012424258.1	32430	33191
pgaptmp_000395	hypothetical protein	WP_012424294.1	33371	34864
pgaptmp_000396	DUF3343 domain-containing protein	WP_012058792.1	34995	35273
pgaptmp_000397	YncE family protein	WP_012422863.1	35369	36880
pgaptmp_000398	hypothetical protein	WP_012425676.1	36873	38390
pgaptmp_000399	RNA polymerase sigma factor SigI	WP_017352891.1	39012	39674
pgaptmp_000400	anti-sigma factor domain-containing protein	WP_003373748.1	39684	40802
pgaptmp_000401	FAD-dependent oxidoreductase	WP_003357962.1	41931	43184
pgaptmp_000402	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA	WP_012451722.1	43184	44422
pgaptmp_000403	DUF1097 domain-containing protein	WP_012451090.1	44662	45123
pgaptmp_000404	APC family permease	WP_012449484.1	45420	46742
pgaptmp_000405	GNAT family N-acetyltransferase	WP_012422765.1	47032	47559
pgaptmp_000406	alpha/beta hydrolase	WP_003372558.1	48030	49112
pgaptmp_000407	AI-2E family transporter	WP_012424651.1	49189	50373
pgaptmp_000408	cardiolipin synthase	WP_017352029.1	50480	51907
pgaptmp_000409	hypothetical protein	WP_003373612.1	52202	52354
pgaptmp_000410	NAD(P)H-dependent oxidoreductase subunit E	WP_017825555.1	52726	53217
pgaptmp_000411	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region domain-containing protein	WP_017825554.1	53207	55087
pgaptmp_000412	[FeFe] hydrogenase%2C group A	WP_012422672.1	55130	56827
pgaptmp_000413	histidine phosphatase family protein	WP_012425599.1	57261	57806
pgaptmp_000414	MATE family efflux transporter	WP_012424501.1	58005	59363
pgaptmp_000415	PHP domain-containing protein	WP_017825551.1	59494	60190
pgaptmp_000416	ECF transporter S component	WP_017352033.1	60254	60778
pgaptmp_000417	DeoR/GlpR family DNA-binding transcription regulator	WP_003374387.1	61556	62311
pgaptmp_000418	1-phosphofructokinase	WP_009170790.1	62304	63206
pgaptmp_000419	PTS fructose transporter subunit IIABC	WP_003369967.1	63228	65120
pgaptmp_000420	zinc-ribbon domain-containing protein	WP_003407210.1	65322	65477
pgaptmp_000421	GNAT family N-acetyltransferase	WP_003373891.1	65507	65959
pgaptmp_000422	hypothetical protein	-2+	65988	66263
pgaptmp_000423	ArsR/SmtB family transcription factor	WP_003374297.1	66596	66922
pgaptmp_000424	low molecular weight phosphatase family protein	WP_003373325.1	66950	67354
pgaptmp_000425	DNA/RNA nuclease SfsA	WP_012449551.1	67508	68200
pgaptmp_000426	hypothetical protein	WP_012425171.1	68331	68939
pgaptmp_000427	hypothetical protein	-2+	69198	69566
pgaptmp_000428	tRNA 2-thiocytidine biosynthesis TtcA family protein	WP_003374601.1	69645	70364
pgaptmp_000429	bifunctional diguanylate cyclase/phosphodiesterase	WP_012422662.1	70581	73727
pgaptmp_000430	bifunctional diguanylate cyclase/phosphodiesterase	WP_012423802.1	74171	78127
pgaptmp_000431	CHAP domain-containing protein	WP_017826670.1	78553	79902
pgaptmp_000432	hypothetical protein	WP_003370613.1	80056	80301
pgaptmp_000433	flagellar assembly protein A	WP_003374703.1	80679	82454
pgaptmp_000434	peptidase T	WP_003370195.1	82654	83874
pgaptmp_000435	type I 3-dehydroquinate dehydratase	WP_012425448.1	84038	84802
pgaptmp_000436	DUF3298 domain-containing protein	WP_017352047.1	84978	85736
pgaptmp_000437	helicase-related protein	WP_017826678.1	86114	87871
pgaptmp_000438	50S ribosomal protein L25	WP_012422796.1	88171	88716
pgaptmp_000439	50S ribosomal protein L25	WP_017826679.1	88957	89505
pgaptmp_000440	ribose-phosphate pyrophosphokinase	WP_015392555.1	89913	91004
pgaptmp_000441	RNA polymerase sigma factor	WP_017825675.1	91294	91782
pgaptmp_000442	hypothetical protein	WP_017825674.1	91769	92767
pgaptmp_000443	rhomboid family intramembrane serine protease	WP_003374285.1	93027	93848
pgaptmp_000444	thioesterase family protein	WP_003374699.1	94084	94479
pgaptmp_000445	hypothetical protein	WP_017352052.1	94720	94986
pgaptmp_000446	hypothetical protein	WP_003369237.1	95354	95728
pgaptmp_000447	NlpC/P60 family protein	WP_017352054.1	96182	97180
pgaptmp_000448	phage integrase SAM-like domain-containing protein		97277	97690
pgaptmp_000449	tyrosine-type recombinase/integrase		97706	98218
pgaptmp_000450	helix-turn-helix domain-containing protein	WP_003370910.1	98258	98548
pgaptmp_000451	helix-turn-helix domain-containing protein		98684	98920
pgaptmp_000452	helix-turn-helix domain-containing protein		99112	99468
pgaptmp_000453	helix-turn-helix domain-containing protein		99711	99923
pgaptmp_000454	ORF6N domain-containing protein	WP_002581840.1	100095	101003
pgaptmp_000464	DNA gyrase subunit A	WP_012449709.1	552	3101
pgaptmp_000465	DNA topoisomerase (ATP-hydrolyzing) subunit B	WP_009167659.1	3124	5031
pgaptmp_000466	extracellular matrix regulator RemB	WP_011967370.1	5067	5327
pgaptmp_000467	DNA replication/repair protein RecF	WP_003369596.1	5342	6427
pgaptmp_000468	RNA-binding S4 domain-containing protein	WP_017352517.1	6499	6705
pgaptmp_000469	DNA polymerase III subunit beta	WP_012423237.1	6744	7844
pgaptmp_000470	chromosomal replication initiator protein DnaA	WP_003371663.1	8105	9475
pgaptmp_000471	50S ribosomal protein L34	WP_003373622.1	10010	10144
pgaptmp_000472	ribonuclease P protein component	WP_012424861.1	10207	10584
pgaptmp_000473	membrane protein insertion efficiency factor YidD	WP_002582822.1	10556	10765
pgaptmp_000474	membrane protein insertase YidC	WP_012424555.1	10791	11570
pgaptmp_000475	RNA-binding cell elongation regulator Jag/EloR	WP_003369056.1	11618	12244
pgaptmp_000476	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	WP_017826776.1	12576	13946
pgaptmp_000477	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	WP_012423614.1	13956	15836
pgaptmp_000478	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	WP_012450446.1	15853	16572
pgaptmp_000479	nucleoid occlusion protein	WP_002582828.1	16803	17582
pgaptmp_000480	ParA family protein	WP_017352522.1	17765	18529
pgaptmp_000481	ParB/RepB/Spo0J family partition protein	WP_017352523.1	18543	19421
pgaptmp_000482	DUF4446 family protein	WP_012423633.1	19462	19974
pgaptmp_000483	spore protease YyaC	WP_003369076.1	20282	20884
pgaptmp_000484	aminotransferase class V-fold PLP-dependent enzyme	WP_012449527.1	20982	22139
pgaptmp_000485	LysE family transporter	WP_012425393.1	22155	22808
pgaptmp_000486	DUF3343 domain-containing protein	WP_012450983.1	23054	23293
pgaptmp_000487	mechanosensitive ion channel family protein	WP_012451521.1	23320	24213
pgaptmp_000488	DUF951 domain-containing protein	WP_003373736.1	24213	24404
pgaptmp_000489	30S ribosomal protein S6	WP_009167635.1	24514	24801
pgaptmp_000490	single-stranded DNA-binding protein	WP_012425319.1	24815	25258
pgaptmp_000491	30S ribosomal protein S18	WP_015395847.1	25280	25531
pgaptmp_000492	MazG-like family protein	WP_003374679.1	25720	26040
pgaptmp_000493	DHH family phosphoesterase	WP_003374727.1	26064	28004
pgaptmp_000494	50S ribosomal protein L9	WP_012425064.1	28007	28450
pgaptmp_000495	Lon family ATP-dependent protease	WP_012450022.1	28466	30358
pgaptmp_000496	replicative DNA helicase	WP_002582845.1	30447	31784
pgaptmp_000497	protein phosphatase	WP_003372854.1	32032	32385
pgaptmp_000498	pyrroline-5-carboxylate reductase	WP_003370330.1	32601	33401
pgaptmp_000499	anti sigma factor C-terminal domain-containing protein	WP_009171918.1	33841	34806
pgaptmp_000500	RNA polymerase sigma factor	WP_009171919.1	34799	35347
pgaptmp_000501	NAD(P)-dependent malic enzyme	WP_012423810.1	35510	36682
pgaptmp_000502	adenylosuccinate synthase	WP_012061223.1	36906	38192
pgaptmp_000503	DUF1858 domain-containing protein	WP_003371961.1	38295	38477
pgaptmp_000504	acyl-[acyl-carrier-protein] thioesterase	WP_017213154.1	38683	39432
pgaptmp_000505	NAD(P)/FAD-dependent oxidoreductase	WP_012449819.1	39539	40783
pgaptmp_000506	hypothetical protein	WP_003373907.1	40947	41531
pgaptmp_000518	ATP-binding protein	WP_012425429.1	42729	43709
pgaptmp_000519	DnaD domain protein	WP_012449871.1	43702	44691
pgaptmp_000520	peptidoglycan DD-metalloendopeptidase family protein	WP_017352534.1	44867	46054
pgaptmp_000521	S8 family serine peptidase	WP_003374436.1	46148	47353
pgaptmp_000522	MBL fold metallo-hydrolase	WP_012450283.1	47473	48291
pgaptmp_000523	DMT family transporter	WP_003369607.1	48349	48780
pgaptmp_000524	dUTP diphosphatase	WP_003373384.1	48969	49445
pgaptmp_000525	hypothetical protein	WP_012449467.1	49624	50163
